City ID,City,Country,Lat,Lng,Temperature,Humidity,Clouds,Wind Speed
3369157,Cape Town,ZA,-33.9258,18.4232,56.66,81,0,12.66
2618795,Klaksvík,FO,62.2266,-6.589,45.52,80,100,18.28
2206939,Bluff,NZ,-46.6,168.3333,58.8,92,100,5.53
2208248,Kaitangata,NZ,-46.2817,169.8464,55.72,96,100,2.66
1835848,Seoul,KR,37.5683,126.9778,62.4,33,0,6.91
2214432,Nālūt,LY,30.3333,10.85,60.31,36,0,5.77
5044290,Saint Anthony,US,45.0205,-93.218,66.38,32,0,17.27
2122090,Pevek,RU,69.7008,170.3133,29.03,84,100,3.98
935214,Saint-Pierre,RE,-21.3393,55.4781,69.48,73,0,5.75
3393768,Óbidos,BR,-1.9175,-55.5181,74.89,95,85,2.01
1502073,Krasnosel'kup,RU,65.7,82.4667,16.14,83,6,15.26
2236967,Soyo,AO,-6.1349,12.3689,76.95,88,9,2.64
2126199,Cherskiy,RU,68.75,161.3,29.93,95,100,17.22
2028028,Aksha,RU,50.2814,113.2867,67.01,23,0,14.81
2427455,Moundou,TD,8.5667,16.0833,81.43,63,99,4.41
1651103,Atambua,ID,-9.1061,124.8925,84.04,62,16,4.0
6185377,Yellowknife,CA,62.456,-114.3525,34.32,86,100,27.63
6170031,Tuktoyaktuk,CA,69.4541,-133.0374,35.6,80,20,12.66
5848280,Kapaa,US,22.0752,-159.319,76.23,80,75,18.41
2075265,Busselton,AU,-33.65,115.3333,67.73,62,37,5.48
3831208,Qaanaaq,GL,77.484,-69.3632,15.57,80,99,5.79
3833367,Ushuaia,AR,-54.8,-68.3,47.86,43,0,16.11
4032243,Vaini,TO,-21.2,-175.2,78.96,78,40,9.22
2110227,Butaritari,KI,3.0707,172.7902,82.4,74,15,16.44
5905393,Bonavista,CA,48.6499,-53.1147,34.5,75,10,18.37
1714733,Dingle,PH,10.9995,122.6711,88.57,62,97,15.61
1015776,Bredasdorp,ZA,-34.5322,20.0403,53.62,92,35,1.25
6089245,Norman Wells,CA,65.282,-126.8329,42.84,56,75,5.75
2180815,Tuatapere,NZ,-46.1333,167.6833,60.24,89,100,2.08
4031574,Provideniya,RU,64.3833,-173.3,32.83,94,100,9.33
3105522,Bereda,ES,43.2686,-7.5406,51.58,98,91,1.97
3466704,Castro,BR,-24.7911,-50.0119,48.0,98,72,4.27
5855927,Hilo,US,19.7297,-155.09,73.15,85,100,12.66
3203521,Brčko,BA,44.8728,18.8083,54.91,75,98,1.79
1024701,Macia,MZ,-25.0269,33.0989,63.16,92,4,3.22
5106841,Albany,US,42.6001,-73.9662,45.81,47,100,1.97
2132606,Samarai,PG,-10.6167,150.6667,84.49,75,44,14.52
3874787,Punta Arenas,CL,-53.15,-70.9167,44.71,70,40,20.71
3382160,Cayenne,GF,4.9333,-52.3333,82.09,1,75,5.99
2022572,Khatanga,RU,71.9667,102.5,16.36,90,99,10.96
4030556,Rikitea,PF,-23.1203,-134.9692,77.43,82,10,17.11
601734,Daşoguz,TM,41.8363,59.9666,69.75,78,100,13.8
1272145,Dwārāhāt,IN,29.7833,79.4333,78.33,21,0,2.44
2122293,Ozernovskiy,RU,51.5,156.5167,51.62,72,89,8.23
3445133,Viçosa,BR,-20.7539,-42.8819,61.47,96,22,5.55
2145554,Ulladulla,AU,-35.35,150.4667,67.1,44,1,4.74
4421935,Clarksdale,US,34.2001,-90.5709,62.58,88,40,0.0
1529660,Aksu,CN,41.1231,80.2644,76.64,26,1,4.03
1061412,Mananara,MG,-16.1667,49.7667,72.03,95,76,3.56
686090,Asău,RO,46.4333,26.4,41.92,82,24,2.13
6853140,Lesnoy,RU,57.6198,63.0784,49.6,62,15,8.75
2123814,Leningradskiy,RU,69.3833,178.4167,29.19,85,100,7.31
2396853,Omboué,GA,-1.5746,9.2618,75.85,90,100,3.29
779622,Havøysund,NO,70.9963,24.6622,32.23,71,100,27.29
3893629,Coquimbo,CL,-29.9533,-71.3436,56.93,88,100,5.75
6167817,Torbay,CA,47.6666,-52.7314,31.84,86,75,4.0
3396016,Macapá,BR,0.0389,-51.0664,80.58,89,20,2.3
5563839,Fortuna,US,40.5982,-124.1573,50.83,75,100,10.36
1490058,Taseyevo,RU,57.2169,94.8978,35.37,52,97,16.62
546105,Nikolskoye,RU,59.7035,30.7861,42.8,92,100,4.97
6445060,Sainte-Maxime,FR,43.3,6.6333,56.91,86,96,5.17
935215,Saint-Philippe,RE,-21.3585,55.7679,69.39,84,42,12.41
5866583,Saint Paul Harbor,US,57.79,-152.4072,56.71,41,0,12.66
3366880,Hermanus,ZA,-34.4187,19.2345,58.48,81,99,4.25
1631637,Pemangkat,ID,1.1667,108.9667,81.75,78,100,3.53
3430863,Mar del Plata,AR,-38.0023,-57.5575,59.23,85,0,12.66
163345,Tartous,SY,34.889,35.8866,62.58,75,0,8.21
6201424,Mataura,NZ,-46.1927,168.8643,58.48,94,100,0.74
3384481,Distrikt Brokopondo,SR,4.75,-55.1667,76.32,90,100,7.45
1283285,Jumla,NP,29.2747,82.1838,62.22,59,18,4.61
2179103,Whitianga,NZ,-36.8333,175.7,65.61,60,15,6.4
