City ID,City,Country,Lat,Lng,Temperature,Humidity,Clouds,Wind Speed
5866063,Kenai,US,60.5544,-151.2583,37.62,91,100,6.91
3366880,Hermanus,ZA,-34.4187,19.2345,57.79,92,100,16.42
3874787,Punta Arenas,CL,-53.15,-70.9167,37.33,81,40,9.22
2163355,Hobart,AU,-42.8794,147.3294,49.03,84,75,5.75
5106841,Albany,US,42.6001,-73.9662,55.02,57,100,3.74
2156643,Mount Gambier,AU,-37.8333,140.7667,51.24,73,100,8.28
780687,Berlevåg,NO,70.8578,29.0864,39.0,86,99,14.29
5848280,Kapaa,US,22.0752,-159.319,73.78,84,100,13.8
5880054,Barrow,US,71.2906,-156.7887,19.42,86,100,10.36
3173577,Merano,IT,46.6682,11.1595,66.45,75,100,1.81
3833367,Ushuaia,AR,-54.8,-68.3,38.86,75,40,9.22
3832899,Viedma,AR,-40.8135,-62.9967,65.62,49,75,5.95
107304,Buraidah,SA,26.326,43.975,95.85,6,0,10.31
5122534,Jamestown,US,42.097,-79.2353,53.76,86,100,5.99
4030556,Rikitea,PF,-23.1203,-134.9692,77.76,85,93,13.82
5012495,Traverse City,US,44.7631,-85.6206,53.82,58,75,6.91
986717,Kruisfontein,ZA,-34.0033,24.7314,64.54,70,54,15.61
934322,Mahébourg,MU,-20.4081,57.7,77.29,73,75,14.97
1650434,Bambanglipuro,ID,-7.95,110.2833,78.66,90,16,5.86
4032243,Vaini,TO,-21.2,-175.2,73.56,88,40,3.44
1015776,Bredasdorp,ZA,-34.5322,20.0403,61.14,83,100,12.66
2126710,Beringovskiy,RU,63.05,179.3167,12.2,95,41,5.66
337405,Gambēla,ET,8.25,34.5833,89.64,48,100,10.04
5882953,Aklavik,CA,68.2191,-135.0107,22.57,86,100,3.96
5546220,Saint George,US,37.1041,-113.5841,68.63,22,0,1.99
2094342,Kavieng,PG,-2.5744,150.7967,83.14,76,100,14.36
1651810,Airai,TL,-8.9266,125.4092,59.72,95,26,3.09
1337605,Mahibadhoo,MV,3.7833,72.9667,84.51,76,83,14.23
1819729,Hong Kong,HK,22.2855,114.1577,77.16,81,100,4.0
3577430,Road Town,VG,18.4167,-64.6167,82.38,65,40,12.66
2456917,Goundam,ML,16.4145,-3.6708,109.15,8,96,10.98
1507390,Dikson,RU,73.5069,80.5464,16.9,80,94,17.0
2126199,Cherskiy,RU,68.75,161.3,31.3,99,100,6.38
1006984,East London,ZA,-33.0153,27.9116,71.8,74,3,11.5
693615,Skvyra,UA,49.7318,29.6657,60.85,43,81,7.52
681725,Ciocile,RO,44.8167,27.2333,69.64,27,0,7.2
108410,Riyadh,SA,24.6877,46.7219,96.94,12,92,6.85
6137462,Saint-Augustin,CA,51.226,-58.6502,37.89,53,98,12.53
5478673,Meadow Lake,US,34.8014,-106.5436,60.82,17,35,3.24
